ID;title;artist;genre;year;bpm;nrgy;dnce;val;dur;lyrics;popu
1;Hey, Soul Sister;Train;no pop;2010;97;89;67;80;217;4;83
2;Love The Way You Lie;Eminem;no pop;2010;87;93;75;64;263;23;82
3;TiK ToK;Kesha;pop;2010;120;84;76;71;200;14;80
4;Bad Romance;Lady Gaga;pop;2010;119;92;70;71;295;4;79
5;Just the Way You Are;Bruno Mars;pop;2010;109;84;64;43;221;4;78
6;Baby;Justin Bieber;pop;2010;65;86;73;54;214;14;77
7;Dynamite;Taio Cruz;pop;2010;120;78;75;82;203;9;77
8;Secrets;OneRepublic;pop;2010;148;76;52;38;225;4;77
9;Empire State of Mind (Part II) Broken Down;Alicia Keys;no pop;2010;93;37;48;14;216;3;76
10;Only Girl (In The World);Rihanna;pop;2010;126;72;79;61;235;4;73
11;Club Can't Handle Me (feat. David Guetta);Flo Rida;pop;2010;128;87;62;47;235;3;73
12;Marry You;Bruno Mars;pop;2010;145;83;62;48;230;4;73
13;Cooler Than Me - Single Mix;Mike Posner;pop;2010;130;82;77;63;213;5;73
14;Telephone;Lady Gaga;pop;2010;122;83;83;71;221;4;73
15;Like A G6;Far East Movement;pop;2010;125;84;44;78;217;45;72
16;OMG (feat. will.i.am);Usher;no pop;2010;130;75;78;33;269;3;72
17;Eenie Meenie;Sean Kingston;pop;2010;121;61;72;83;202;3;71
18;The Time (Dirty Bit);The Black Eyed Peas;pop;2010;128;81;82;44;308;7;70
19;Alejandro;Lady Gaga;pop;2010;99;80;63;37;274;5;69
20;Your Love Is My Drug;Kesha;pop;2010;120;61;83;76;187;10;69
21;Meet Me Halfway;The Black Eyed Peas;pop;2010;130;63;80;40;284;7;68
22;Whataya Want from Me;Adam Lambert;pop;2010;186;68;44;45;227;5;66
23;Take It Off;Kesha;pop;2010;125;68;73;74;215;3;66
24;Misery;Maroon 5;pop;2010;103;81;70;73;216;4;65
25;All The Right Moves;OneRepublic;pop;2010;146;95;53;65;238;5;65
26;Animal;Neon Trees;no pop;2010;148;83;48;74;212;4;65
27;Naturally;Selena Gomez & The Scene;pop;2010;133;90;61;88;203;5;64
28;I Like It;Enrique Iglesias;pop;2010;129;94;65;73;231;9;63
29;Teenage Dream;Katy Perry;pop;2010;120;80;72;59;228;4;63
30;California Gurls;Katy Perry;pop;2010;125;75;79;40;235;5;62
31;3;Britney Spears;pop;2010;135;71;70;79;213;5;62
32;My First Kiss - feat. Ke$ha;3OH!3;pop;2010;138;89;68;83;192;8;62
